Time_ms,CH1_Biceps_mV,CH2_Triceps_mV,CH3_Flexor_mV,CH4_Extensor_mV,Gesture_Label,Syntiant_NDP120_Inference_Conf
0.00,0.0405,0.4409,0.0197,0.3910,REST_POSE,0.985
0.50,0.0759,0.3969,0.0619,0.3723,REST_POSE,0.985
1.00,0.1261,0.4000,0.0586,0.3778,REST_POSE,0.985
1.50,0.1103,0.4027,0.1672,0.3454,REST_POSE,0.985
2.00,0.1305,0.3837,0.1440,0.3424,REST_POSE,0.985
2.50,0.2173,0.4187,0.1802,0.3355,REST_POSE,0.985
3.00,0.2228,0.4188,0.2517,0.3092,REST_POSE,0.985
3.50,0.2470,0.3949,0.3249,0.2957,REST_POSE,0.985
4.00,0.3401,0.3695,0.2993,0.2903,REST_POSE,0.985
4.50,0.3636,0.3984,0.4013,0.2779,REST_POSE,0.985
5.00,0.3808,0.3650,0.3609,0.2731,REST_POSE,0.985
5.50,0.4031,0.3606,0.3947,0.2522,REST_POSE,0.985
6.00,0.4807,0.3693,0.4890,0.2088,REST_POSE,0.985
6.50,0.4649,0.3421,0.5058,0.2125,REST_POSE,0.985
7.00,0.5316,0.3231,0.5169,0.1358,REST_POSE,0.985
7.50,0.5975,0.3298,0.4745,0.1578,REST_POSE,0.985
8.00,0.6017,0.2882,0.4957,0.1284,REST_POSE,0.985
8.50,0.6317,0.2762,0.5775,0.0508,REST_POSE,0.985
9.00,0.6754,0.2353,0.5174,0.0565,REST_POSE,0.985
9.50,0.6973,0.2566,0.5153,-0.0012,REST_POSE,0.985
10.00,0.7514,0.2124,0.5623,-0.0327,REST_POSE,0.985
10.50,0.7786,0.2007,0.5659,-0.0127,REST_POSE,0.985
11.00,0.7944,0.2014,0.5368,-0.0665,REST_POSE,0.985
11.50,0.7641,0.1465,0.5351,-0.1285,REST_POSE,0.985
12.00,0.7875,0.1775,0.4898,-0.1414,REST_POSE,0.985
12.50,0.8462,0.1422,0.5182,-0.1828,REST_POSE,0.985
13.00,0.7726,0.1350,0.4930,-0.1722,REST_POSE,0.985
13.50,0.8013,0.1189,0.4661,-0.1990,REST_POSE,0.985
14.00,0.8455,0.0901,0.4115,-0.2070,REST_POSE,0.985
14.50,0.8793,0.0277,0.3923,-0.2439,REST_POSE,0.985
15.00,0.8820,0.0244,0.3454,-0.2927,REST_POSE,0.985
15.50,0.8778,0.0087,0.3755,-0.3014,REST_POSE,0.985
16.00,0.8471,0.0152,0.3194,-0.2955,REST_POSE,0.985
16.50,0.8727,-0.0298,0.2987,-0.3146,REST_POSE,0.985
17.00,0.8170,-0.0293,0.1856,-0.3185,REST_POSE,0.985
17.50,0.8710,-0.1009,0.1842,-0.3709,REST_POSE,0.985
18.00,0.8710,-0.1145,0.1246,-0.3859,REST_POSE,0.985
18.50,0.7942,-0.1422,0.1379,-0.3985,REST_POSE,0.985
19.00,0.8457,-0.1638,0.0318,-0.3948,REST_POSE,0.985
19.50,0.7429,-0.1436,0.0065,-0.3730,REST_POSE,0.985
20.00,0.7756,-0.1970,-0.0017,-0.3674,REST_POSE,0.985
20.50,0.7963,-0.2210,-0.0415,-0.3658,REST_POSE,0.985
21.00,0.7594,-0.2260,-0.0890,-0.3680,REST_POSE,0.985
21.50,0.6977,-0.2577,-0.2010,-0.3536,REST_POSE,0.985
22.00,0.7341,-0.2692,-0.2316,-0.3357,REST_POSE,0.985
22.50,0.6315,-0.2731,-0.2187,-0.3618,REST_POSE,0.985
23.00,0.5886,-0.2920,-0.3166,-0.3556,REST_POSE,0.985
23.50,0.6420,-0.2746,-0.3008,-0.3247,REST_POSE,0.985
24.00,0.5663,-0.3181,-0.3346,-0.2856,REST_POSE,0.985
24.50,0.5709,-0.3176,-0.4232,-0.2966,REST_POSE,0.985
25.00,0.4867,-0.3522,-0.3793,-0.2487,REST_POSE,0.985
25.50,0.4764,-0.3707,-0.4391,-0.2347,REST_POSE,0.985
26.00,0.4839,-0.3690,-0.4448,-0.2255,REST_POSE,0.985
26.50,0.4150,-0.3710,-0.4949,-0.1571,REST_POSE,0.985
