Time_min,Sweat_Cortisol_ug_dL,Hydrogel_Saturation_Pct,Grip_Force_Cap_Pct,Anxiety_State
0,0.28,0.0,100,BASELINE_CALM
1,0.28,1.4,100,BASELINE_CALM
2,0.28,2.8,100,BASELINE_CALM
3,0.28,4.2,100,BASELINE_CALM
4,0.28,5.6,100,BASELINE_CALM
5,0.28,7.0,100,BASELINE_CALM
6,0.28,8.4,100,BASELINE_CALM
7,0.28,9.8,100,BASELINE_CALM
8,0.28,11.2,100,BASELINE_CALM
9,0.28,12.6,100,BASELINE_CALM
10,0.28,14.0,100,BASELINE_CALM
11,0.28,15.4,100,BASELINE_CALM
12,0.28,16.8,100,BASELINE_CALM
13,0.28,18.2,100,BASELINE_CALM
14,0.28,19.6,100,BASELINE_CALM
15,0.28,21.0,100,BASELINE_CALM
16,0.28,22.4,100,BASELINE_CALM
17,0.28,23.8,100,BASELINE_CALM
18,0.28,25.2,100,BASELINE_CALM
19,0.28,26.6,100,BASELINE_CALM
20,0.28,28.0,100,BASELINE_CALM
21,0.28,29.4,100,BASELINE_CALM
22,0.28,30.8,100,BASELINE_CALM
23,0.28,32.2,100,BASELINE_CALM
24,0.28,33.6,100,BASELINE_CALM
25,0.72,35.0,80,ANXIETY_SPIKE
26,0.72,36.4,80,ANXIETY_SPIKE
27,0.72,37.8,80,ANXIETY_SPIKE
28,0.72,39.2,80,ANXIETY_SPIKE
29,0.72,40.6,80,ANXIETY_SPIKE
30,0.72,42.0,80,ANXIETY_SPIKE
31,0.72,43.4,80,ANXIETY_SPIKE
32,0.72,44.8,80,ANXIETY_SPIKE
33,0.72,46.2,80,ANXIETY_SPIKE
34,0.72,47.6,80,ANXIETY_SPIKE
35,0.72,49.0,80,ANXIETY_SPIKE
36,0.72,50.4,80,ANXIETY_SPIKE
37,0.72,51.8,80,ANXIETY_SPIKE
38,0.72,53.2,80,ANXIETY_SPIKE
39,0.72,54.6,80,ANXIETY_SPIKE
40,0.72,56.0,80,ANXIETY_SPIKE
41,0.72,57.4,80,ANXIETY_SPIKE
42,0.72,58.8,80,ANXIETY_SPIKE
43,0.72,60.2,80,ANXIETY_SPIKE
44,0.72,61.6,80,ANXIETY_SPIKE
45,0.32,63.0,100,BASELINE_CALM
46,0.32,64.4,100,BASELINE_CALM
47,0.32,65.8,100,BASELINE_CALM
48,0.32,67.2,100,BASELINE_CALM
49,0.32,68.6,100,BASELINE_CALM
50,0.32,70.0,100,BASELINE_CALM
51,0.32,71.4,100,BASELINE_CALM
52,0.32,72.8,100,BASELINE_CALM
53,0.32,74.2,100,BASELINE_CALM
54,0.32,75.6,100,BASELINE_CALM
55,0.32,77.0,100,BASELINE_CALM
56,0.32,78.4,100,BASELINE_CALM
57,0.32,79.8,100,BASELINE_CALM
58,0.32,81.2,100,BASELINE_CALM
59,0.32,82.6,100,BASELINE_CALM
